,Dynamic,60_40,EqualWeight
2016-09-02,-0.004121037405675931,-0.004980558720354855,-0.005682756865331373
2016-09-06,0.0,-0.00028910017181638104,0.0
2016-09-07,0.0,-0.0006307870378501335,-0.0005172916141237272
2016-09-08,-0.005743730334057062,-0.007046210054210578,-0.005800439373460753
2016-09-09,-0.02371350291035823,-0.02807679819937725,-0.018732450869624606
2016-09-12,-0.013699900829461154,-0.019569081182545522,-0.013412095408693925
2016-09-13,-0.02206331912576065,-0.03256672479792533,-0.02090874369180773
2016-09-14,-0.019262802187568484,-0.0322075815678472,-0.018928972942186983
2016-09-15,-0.011594599007567874,-0.028109786138267867,-0.016363925422107406
2016-09-16,-0.011224608981427298,-0.027240035510584182,-0.016063735694288428
2016-09-19,-0.013902913501858571,-0.02840322134657791,-0.017262602606033295
2016-09-20,-0.012274680370985669,-0.027018418098292085,-0.016005446283899216
2016-09-21,-0.004906449313492267,-0.01735509646825817,-0.008567043658351037
2016-09-22,0.0,-0.010539365505044862,-0.004071749230278532
2016-09-23,-0.003608862362030396,-0.014177203072180844,-0.005928029203921659
2016-09-26,-0.007017207370347278,-0.016489793955124843,-0.007176000885192102
2016-09-27,-0.0005906503581794009,-0.009962323492245129,-0.004225469251636471
2016-09-28,0.0,-0.007878715330066899,-0.0041019887858773085
2016-09-29,-0.004114466589986154,-0.012286612616744352,-0.006433427784411583
2016-09-30,-0.001456590730646412,-0.011378076261290726,-0.006558956657724879
2016-10-03,-0.003668774122674079,-0.01411275508771892,-0.008571529683398138
2016-10-04,-0.00859606481885511,-0.02177544874489301,-0.018342498835836496
2016-10-05,-0.007711488087727814,-0.02101129148730152,-0.018527203461800812
2016-10-06,-0.009393295223669718,-0.02279111297295089,-0.021274358734446497
2016-10-07,-0.010460351799766787,-0.024542545522680648,-0.02167991006106662
2016-10-10,-0.00849518986059028,-0.023810682867033695,-0.02070252975155351
2016-10-11,-0.01730941658787677,-0.032136009892566375,-0.026383589809165442
2016-10-12,-0.017292297472522367,-0.030995855505137282,-0.025892486279147198
2016-10-13,-0.018219839524873827,-0.03144849314528597,-0.02560926152011722
2016-10-14,-0.020932039732162178,-0.036615369209199056,-0.029070423102734
2016-10-17,-0.02099984077750139,-0.03617389279117911,-0.028127673412727483
2016-10-18,-0.015134864994866715,-0.0313138438720324,-0.023777562594166746
2016-10-19,-0.01448231055844651,-0.029445065652509483,-0.022220156729092833
2016-10-20,-0.015289636251407335,-0.030124603687295526,-0.02326962872014826
2016-10-21,-0.013068082255731528,-0.02927019684899279,-0.02200565403556587
2016-10-24,-0.008259547248926413,-0.028491541921310537,-0.020720378050291033
2016-10-25,-0.009640632894034828,-0.02942446884971983,-0.02015993669772498
2016-10-26,-0.014742156961562114,-0.03322925775625307,-0.024039360359261575
2016-10-27,-0.019892338876821958,-0.03901422049280312,-0.027226066943810356
2016-10-28,-0.023440870135306935,-0.04157422349813089,-0.028295788884838302
2016-10-31,-0.022511709435579563,-0.03920352460558563,-0.026724611486272365
2016-11-01,-0.026863841091920526,-0.04336612312157451,-0.02806120862240813
2016-11-02,-0.030047413216183316,-0.045169885916999,-0.027860874402877767
2016-11-03,-0.03576428594883996,-0.05074124383522205,-0.03067154139784123
2016-11-04,-0.03597677649534525,-0.04798171878628754,-0.02930415941545028
2016-11-07,-0.024527136431791607,-0.03877063527505087,-0.027029007399626437
2016-11-08,-0.022183376777837993,-0.037742305363271056,-0.027329983228889132
2016-11-09,-0.025571921626147853,-0.0483421266722579,-0.03470808634630451
2016-11-10,-0.03578093832077045,-0.05258371323843947,-0.042762254507981656
2016-11-11,-0.038257037597655974,-0.0560320861085456,-0.04785841756800757
2016-11-14,-0.04469754335623044,-0.05785254360078884,-0.05280953804185062
2016-11-15,-0.036399489684205366,-0.051599707022438435,-0.047205793416901454
2016-11-16,-0.03328203971259891,-0.04926183875296142,-0.04548293596406727
2016-11-17,-0.03181132069976733,-0.05197442378123596,-0.047414414218235446
2016-11-18,-0.03550125129444481,-0.05434512705698591,-0.05102212034061937
2016-11-21,-0.02902326880130668,-0.0491385994057818,-0.047098274746556146
2016-11-22,-0.02721368613546149,-0.048151143767093174,-0.04630166423902027
2016-11-23,-0.031135383307140718,-0.049320728626789156,-0.051323936747289856
2016-11-25,-0.029408469363942147,-0.0466384477753824,-0.051045120340014516
2016-11-28,-0.029045115496536544,-0.04653166483620352,-0.04851347045784371
2016-11-29,-0.026837359258000126,-0.043822146537777606,-0.047550660538032585
2016-11-30,-0.03632375054665837,-0.051447018323571014,-0.055726414923264245
2016-12-01,-0.045919219475818784,-0.05757010067032009,-0.06169137439849981
2016-12-02,-0.043690822098758963,-0.054534925268574175,-0.058454176726938756
2016-12-05,-0.03915641829239391,-0.05154767516779124,-0.0573702740011971
2016-12-06,-0.03726815756154234,-0.05003403081492441,-0.05674745188649433
2016-12-07,-0.027394622787771272,-0.03939368096192131,-0.050247268658262456
2016-12-08,-0.026967868495466618,-0.04254266341462265,-0.05244581297180284
2016-12-09,-0.02367712834546143,-0.0438771514031443,-0.054734684207487505
2016-12-12,-0.025696372366022513,-0.04382023014765113,-0.054761788821084956
2016-12-13,-0.01844330605326161,-0.03864210497602616,-0.05163401292313319
2016-12-14,-0.024257003509061237,-0.047743721359051916,-0.059003090956808
2016-12-15,-0.02373646829962406,-0.043477154991116485,-0.05999608281187008
2016-12-16,-0.02529728138323417,-0.04548153089809581,-0.05994145599495404
2016-12-19,-0.021600981633508654,-0.04015092502986728,-0.0557045089355902
2016-12-20,-0.019775044162280042,-0.03985183218296562,-0.05676111522042038
2016-12-21,-0.0204600143857796,-0.03976583129180866,-0.05620530898330234
2016-12-22,-0.02242410453461363,-0.041448819131091885,-0.0576118610846208
2016-12-23,-0.02133716343325409,-0.03982702912394642,-0.05631108615779479
2016-12-27,-0.018374610945205427,-0.03963780513525206,-0.05500554942756797
2016-12-28,-0.02312836684219055,-0.041622545813847056,-0.05532976293179315
2016-12-29,-0.022409272051886253,-0.04039469454840117,-0.05232588019956175
2016-12-30,-0.027718604420269854,-0.04192250312677526,-0.05474940226299718
2017-01-03,-0.021212329915291428,-0.03590440639139669,-0.05044719619624782
2017-01-04,-0.01646687729929197,-0.03099335458063357,-0.04726656306869703
2017-01-05,-0.013046587855707337,-0.025435379179967743,-0.04044711646725385
2017-01-06,-0.00870702164374948,-0.026942849945412184,-0.04199949322607466
2017-01-09,-0.007740939538393166,-0.025761828220735472,-0.03868013195507458
2017-01-10,-0.006814121773698778,-0.026017595904436308,-0.03788368135500009
2017-01-11,-0.0043620411640201695,-0.02305879099396424,-0.03570753159158524
2017-01-12,-0.00585883255025621,-0.025396275869089324,-0.03598756416399573
2017-01-13,-0.003857753305315903,-0.02591517287452494,-0.03584044784343732
2017-01-17,-0.005536053087613069,-0.02391998357244396,-0.032006258463173176
2017-01-18,-0.005109850412810091,-0.02766026256786336,-0.03607146445203668
2017-01-19,-0.007358416150985869,-0.032502449148101076,-0.03866106540709613
2017-01-20,-0.004943994467986101,-0.031147057959025615,-0.03748068340767796
2017-01-23,-0.004581486473720253,-0.028803462154926907,-0.03415139155668834
2017-01-24,0.0,-0.027750353222627533,-0.03458205464075559
2017-01-25,0.0,-0.027634601805150427,-0.03578465596635416
2017-01-26,0.0,-0.026937520697627226,-0.03650878481919695
2017-01-27,0.0,-0.026453283121539273,-0.03527499973227577
2017-01-30,-0.005837134611955674,-0.031260591735110976,-0.03738469830724234
2017-01-31,-0.006083704390794531,-0.028624323551227127,-0.0338101034797369
2017-02-01,-0.0032190517201005076,-0.030804009367536578,-0.03449014930043892
2017-02-02,-0.0032716943728272607,-0.03058384425692684,-0.03358281570310606
2017-02-03,0.0,-0.026750991114638634,-0.03161339683959852
2017-02-06,0.0,-0.025447641365689666,-0.027628684353277477
2017-02-07,0.0,-0.022567151856483836,-0.025920408049749488
2017-02-08,0.0,-0.016518328617761258,-0.021425661236461946
2017-02-09,0.0,-0.017591838471466836,-0.024115495129728992
2017-02-10,0.0,-0.015498141708960578,-0.022730170469337785
2017-02-13,0.0,-0.013532913260324131,-0.022839469885257535
2017-02-14,0.0,-0.01403512683770125,-0.023350196793055833
2017-02-15,0.0,-0.012774024027198183,-0.02194071869494474
2017-02-16,0.0,-0.011126734646798031,-0.019638614273109645
2017-02-17,0.0,-0.00785129687521946,-0.017710648797104045
2017-02-21,0.0,-0.005009876280341552,-0.016180563300715267
2017-02-22,0.0,-0.004878147252294296,-0.01546412562969568
2017-02-23,-0.0009266332644120023,-0.0032848160181110364,-0.013539686951616448
2017-02-24,0.0,0.0,-0.009313542788977336
2017-02-27,0.0,-0.0014302797741103657,-0.011361408705934717
2017-02-28,-0.0024496250394761,-0.0015705890341177753,-0.011706492380026301
2017-03-01,0.0,0.0,-0.011926404193918771
2017-03-02,-0.005168594256068193,-0.005232361670866936,-0.017097260305061313
2017-03-03,-0.003952793536255106,-0.0038220665918560215,-0.016169790872623935
2017-03-06,-0.00611867459308113,-0.007512444591063594,-0.018905768644925658
2017-03-07,-0.008266152028988394,-0.010498674478906622,-0.021781703369631034
2017-03-08,-0.008780832021103024,-0.013746844341622544,-0.02438096685864577
2017-03-09,-0.00849710747952992,-0.016158079057525088,-0.026662711705419007
2017-03-10,-0.004967033088488115,-0.01271479282093313,-0.024052767184353674
2017-03-13,-0.004472255759265686,-0.014916099121280335,-0.025184456168318214
2017-03-14,-0.006811990835356108,-0.015292563249785673,-0.02615133933463709
2017-03-15,0.0,-0.00541974724501626,-0.01705799141570341
2017-03-16,-0.0014943322791433067,-0.008614259496726118,-0.018219618051602215
2017-03-17,-0.0018126983807180697,-0.007178684602766827,-0.016660818411312395
2017-03-20,-0.001361970238693777,-0.006128694771865284,-0.01477362764432999
2017-03-21,-0.01234394559626295,-0.010545261559875896,-0.015990068361917187
2017-03-22,-0.008142821927686117,-0.007571956714994443,-0.01309208434240583
