,Return
2017-01-27,0.0005132658496590017
2017-01-30,-0.005837134611955545
2017-01-31,-0.0002480174903160973
2017-02-01,0.0028821870446729746
2017-02-02,-5.281265940878071e-05
2017-02-03,0.003966356587514449
2017-02-06,0.0007916062801187457
2017-02-07,0.0019664908138759723
2017-02-08,0.001989505406423099
2017-02-09,0.002716427941833675
2017-02-10,0.002835807097687892
2017-02-13,0.00422578336485176
2017-02-14,0.0023448426133164204
2017-02-15,0.004258633863850783
2017-02-16,0.0002818062291580742
2017-02-17,0.0029744770247698404
2017-02-21,0.004318073225152592
2017-02-22,0.00013577219816305168
2017-02-23,-0.0009266332644119414
2017-02-24,0.0021858394586921517
2017-02-27,0.00046797870356024817
2017-02-28,-0.0024496250394759945
2017-03-01,0.00876373578005558
2017-03-02,-0.005168594256068192
2017-03-03,0.0012221173485209038
2017-03-06,-0.002174476312739904
2017-03-07,-0.002160698044133258
2017-03-08,-0.0005189698760082218
2017-03-09,0.0002862379489208555
2017-03-10,0.003560326871128115
2017-03-13,0.0004972471723807018
2017-03-14,-0.0023502459771976517
2017-03-15,0.007580121288955746
2017-03-16,-0.0014943322791433602
2017-03-17,-0.0003188425583016371
2017-03-20,0.0004515466599237939
2017-03-21,-0.010996952880108544
2017-03-22,0.004253630248956584
2017-03-23,-0.001721285832387555
2017-03-24,0.0007759267228859191
2017-03-27,0.0008110270144238612
2017-03-28,0.004787776703945034
2017-03-29,0.002939018478953471
2017-03-30,0.0013722994635671389
2017-03-31,-0.0008028209169605417
2017-04-03,0.0006623567157134297
2017-04-04,0.000891644974339279
2017-04-05,-0.0022674737210219035
2017-04-06,0.0004034380135968041
2017-04-07,-0.0007518600037516279
2017-04-10,0.0006402001276104132
2017-04-11,0.0002666599482053678
2017-04-12,-0.0015868062940319636
2017-04-13,-0.0023710260410366333
2017-04-17,0.005338201793709537
2017-04-18,0.00011602728848546771
2017-04-19,-0.0012678204486900038
2017-04-20,0.0056507006690737355
2017-04-21,-0.000496265956719619
2017-04-24,0.007022722121075376
2017-04-25,0.002606528589132586
2017-04-26,0.00025020710554968283
2017-04-27,0.002578676357814605
2017-04-28,0.0007923951435132587
2017-05-01,0.003923906997478824
2017-05-02,0.0009354163182845133
2017-05-03,-0.0034343671017074877
2017-05-04,-0.00040336776562407734
