,Portfolio Value
2021-06-10,1959423.7674300687
2021-06-11,1959415.8448789108
2021-06-14,1965788.8009067196
2021-06-15,1959077.0998401104
2021-06-16,1948054.8520576616
2021-06-17,1948793.100951807
2021-06-18,1932748.429257122
2021-06-21,1949454.778894605
2021-06-22,1958572.122160683
2021-06-23,1957639.5084530239
2021-06-24,1965749.4639247356
2021-06-25,1968064.7931593866
2021-06-28,1977907.4644132678
2021-06-29,1978100.9755175412
2021-06-30,1978925.79502602
2021-07-01,1983727.5384802658
2021-07-02,2000638.4379306145
2021-07-06,2004468.416164176
2021-07-07,2009776.868647576
2021-07-08,1998629.4074778764
2021-07-09,2012245.3640088316
2021-07-12,2017832.8972551988
2021-07-13,2015610.3288338555
2021-07-14,2021098.1370039214
2021-07-15,2012526.0850959981
2021-07-16,1997329.6012884274
2021-07-19,1980165.6064021585
2021-07-20,1999761.0349122065
2021-07-21,2011103.950109387
2021-07-22,2018895.7626475852
2021-07-23,2035583.2586403189
2021-07-26,2037373.1159623961
2021-07-27,2024725.4190568037
2021-07-28,2029144.1512010365
2021-07-29,2036475.4544893503
2021-07-30,2026367.6437304183
